q_id,entity,q_status,type_clean,state,county,county_fips,geo_level,month,month_source,mw_1,region,metric_label,not_data_center_permits
Q241,APS,withdrawn,Solar,AZ,Yavapai,04025,county_fips,2016-03,q_date,200.0,West,generation_storage_interconnection_queue_activity,true
Q242,APS,withdrawn,Solar,AZ,Maricopa,04013,county_fips,2016-03,q_date,150.0,West,generation_storage_interconnection_queue_activity,true
Q243,APS,withdrawn,Solar,AZ,Pinal,04021,county_fips,2016-03,q_date,200.0,West,generation_storage_interconnection_queue_activity,true
Q244,APS,withdrawn,Solar,AZ,Pinal,04021,county_fips,2016-03,q_date,75.0,West,generation_storage_interconnection_queue_activity,true
Q245,APS,withdrawn,Solar,AZ,Yavapai,04025,county_fips,2016-06,q_date,26.0,West,generation_storage_interconnection_queue_activity,true
Q246,APS,active,Solar,AZ,Yuma,04027,county_fips,2016-09,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q247,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2016-09,q_date,400.0,West,generation_storage_interconnection_queue_activity,true
Q248,APS,withdrawn,Solar+Battery,AZ,Maricopa,04013,county_fips,2016-09,q_date,300.0,West,generation_storage_interconnection_queue_activity,true
Q249,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2016-09,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q25,APS,withdrawn,Coal,AZ,Navajo,04017,county_fips,2006-07,q_date,1200.0,West,generation_storage_interconnection_queue_activity,true
Q250,APS,withdrawn,Solar,AZ,Yuma,04027,county_fips,2016-09,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q251,APS,withdrawn,Gas,AZ,Pinal,04021,county_fips,2017-03,q_date,495.0,West,generation_storage_interconnection_queue_activity,true
Q252,APS,active,Solar+Battery,AZ,Yuma,04027,county_fips,2017-03,q_date,250.0,West,generation_storage_interconnection_queue_activity,true
Q253,APS,withdrawn,Solar+Battery,AZ,Pinal,04021,county_fips,2017-03,q_date,140.0,West,generation_storage_interconnection_queue_activity,true
