st_fips_raw,place_names,multiple_cities,predicted_st_fips,n_meta_rows,county_fips,state,county_name,all_county_fips,confidence,method,notes
08083; 0851690,Montezuma County; Montezuma town,1,08083,387,08083,CO,Montezuma County,08083,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
0816495,Commerce City city,0,,91,08001,CO,Adams County,08001,high,place_to_county,national_places → counties gazetteer
0818530,Cripple Creek city,0,,6,08119,CO,Teller County,08119,high,place_to_county,national_places → counties gazetteer
0819080,Dacono city,0,,366,08123,CO,Weld County,08123,high,place_to_county,national_places → counties gazetteer
0820000,Denver city,0,,34,08031,CO,Denver County,08031,high,place_to_county,national_places → counties gazetteer
0820440,Dillon town,0,,19,08117,CO,Summit County,08117,high,place_to_county,national_places → counties gazetteer
0825280,Evans city,0,,112,08123,CO,Weld County,08123,high,place_to_county,national_places → counties gazetteer
0827425,Fort Collins,0,,38,08069,CO,Larimer County,08069,high,place_to_county,national_places → counties gazetteer
0841835,Lafayette city,0,,4,08013,CO,Boulder County,08013,high,place_to_county,national_places → counties gazetteer
0843000,Lakewood city,0,,133,08059,CO,Jefferson County,08059,high,place_to_county,national_places → counties gazetteer
0845970,Longmont city,0,,86,,CO,,08013;08123,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0851635,Monte Vista city,0,,222,08105,CO,Rio Grande County,08105,high,place_to_county,national_places → counties gazetteer
0854330,Northglenn city,0,,250,,CO,,08001;08123,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0877290,Thornton city,0,,141,,CO,,08001;08123,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
0878610; 08071,Trinidad city; Las Animas County,1,08071,72,08071,CO,Las Animas County,08071,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
0878610; 08071,Trinidad city; Las Animas County,1,0878610,403,08071,CO,Las Animas County,08071,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
0878610; 08071,Trinidad city; Las Animas County,1,UNKNOWN,227,08071,CO,Las Animas County,08071,medium,compound_tokens_agree,all resolvable tokens agree on one county
