st_fips_raw,place_names,multiple_cities,predicted_st_fips,n_meta_rows,county_fips,state,county_name,all_county_fips,confidence,method,notes
4833848; 34023,Highland Village city; Middlesex County,1,UNKNOWN,509,,,,34023;48121,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
4835000,Houston city,0,,24,,TX,,48157;48201;48339,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
4848684,Mineral Wells city,0,,12,,TX,,48363;48367,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4848804,Missouri City city,0,,194,,TX,,48157;48201,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4853388,Odessa city,0,,550,,TX,,48135;48329,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4863200; 48425; 4829876,Rose City city; Somervell County; Glen Rose city,1,UNKNOWN,123,,,,48361;48425,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
4866128,Schertz city,0,,443,,TX,,48029;48091;48187,low,ambiguous_multi_county_place,place spans 3 counties; FIPS not invented
4872392,Texas City city,0,,70,,TX,,48071;48167,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4873710,Trophy Club town,0,,19,,TX,,48121;48439,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4873724,Troup city,0,,26,,TX,,48073;48423,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4874924,Van Alstyne city,0,,178,,TX,,48085;48181,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
4875236,Venus town,0,,4,,TX,,48139;48251,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
5303180,Auburn city,0,,453,,WA,,53033;53053,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
5307380,Bothell city,0,,755,,WA,,53033;53061,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
5352495,Pacific city,0,,486,,WA,,53033;53053,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
5516450,Columbus city,0,,15,,WI,,55021;55027,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
5527775; 5519000; 5586400,Fremont town; Dayton town; Weyauwega city,1,UNKNOWN,92,,,,55019;55103;55135,low,ambiguous_compound,multi-city/compound st_fips; no single county invented; predicted UNKNOWN/empty
